result_set,k,P,z,avg_r2_oos,avg_sharpe,avg_subspace_stability,avg_max_principal_angle,avg_mean_principal_angle,anisotropy,angle_anisotropy_ratio,avg_geodesic_accel,avg_erank,avg_erank_collapse,avg_spectral_gap
sweep_A_k_z_P1024,4,1024,z=0e+00,-0.07034579100681548,0.19235544367739746,0.4811303296800537,0.3007970944806409,0.14733261843336878,0.4898911851491395,0.489807319075853,0.07435772823881424,3.620756553755253,0.0,0.30786353392967836
sweep_A_k_z_P1024,4,1024,z=1e+01,-0.03698522168444596,0.26764077988951207,1.1835752326112612,0.6251412014018684,0.41606845192835,0.667772021060218,0.665559158467437,0.10492876564262563,3.9639813718671597,0.0,0.7168725855929086
sweep_A_k_z_P1024,4,1024,z=5e+01,-0.022680949225387215,0.4844839980700141,1.302301581102382,0.7069294662886686,0.4655334474430934,0.660084848350536,0.658528848552759,0.26192391067535703,3.95742681367041,0.0,0.6971029933796453
sweep_A_k_z_P1024,8,1024,z=0e+00,-0.051081956461804356,0.4343801911246605,0.44468494271656656,0.2859890552183745,0.07987981490638879,0.2794983341944885,0.27931074091417396,0.07517491514226604,6.505456638908408,0.0,0.10852468361999683
sweep_A_k_z_P1024,8,1024,z=1e+01,-0.017336353040833252,0.5659592854835919,1.2651927240207197,0.6787456356789633,0.2787553175010633,0.41312640925146876,0.4106918746110516,0.07593182031270523,7.663517027788131,0.0,0.41788001777560246
sweep_A_k_z_P1024,8,1024,z=5e+01,-0.0120968386176048,0.6434231672404923,1.5280082862931301,0.818434193607462,0.35374367729232775,0.4345956266292754,0.43222006125270784,0.19888898355310508,7.667141283830796,0.0,0.4225210569185722
sweep_A_k_z_P1024,12,1024,z=0e+00,-0.04394495594559489,0.7044428434338188,0.3932772051876324,0.2595789600573774,0.048764240267822015,0.18805101461219556,0.18785898617146457,0.07455489144001648,8.9212384449281,0.0,0.039047100220245275
sweep_A_k_z_P1024,12,1024,z=1e+01,-0.007126889296660721,0.710572920651377,1.3100282001337464,0.7464197850638741,0.21165308370065705,0.28500348806343356,0.28355770832433796,0.0963791635566023,11.064942192199746,0.0,0.2761480421801034
sweep_A_k_z_P1024,12,1024,z=5e+01,-0.006557844298109128,0.6655762461902978,1.6230314100546852,0.9435448245953884,0.2744374417887078,0.2937608902878748,0.29085787408816777,0.12144609853052558,11.116943392998847,0.0,0.2963323596684492
sweep_A_k_z_P1024,16,1024,z=0e+00,-0.049218569829142966,0.6274372924654888,0.320011338386471,0.21484086331648933,0.029324643708672358,0.13661674926976314,0.13649472105068408,0.055768943172680815,10.840610238356414,0.0,0.01663497320569462
