k,P,z,run_label,avg_r2_oos,avg_sharpe,avg_subspace_stability,avg_max_principal_angle,avg_mean_principal_angle,avg_geodesic_accel,avg_erank,avg_erank_collapse,avg_spectral_gap
20,6000,20.0,Run11b,-0.022222,0.266937,0.550187,0.387583,0.034801,0.149173,13.130887,0.001916,0.007162
20,8000,0.0,Run13,-0.062689,0.044308,0.077712,0.053978,0.00389,0.021497,11.296383,0.103448,0.00343
20,8000,10.0,Run13,-0.023129,0.222971,0.365007,0.253381,0.022174,0.095427,12.690983,0.000958,0.005371
20,10000,50.0,Run15,-0.02251,0.276459,0.724941,0.512187,0.078804,0.184396,10.217573,0.0,0.125581
20,10000,100.0,Run15,-0.022389,0.284311,0.955788,0.663906,0.120878,0.268483,10.919813,0.0,0.215149
24,64,20.0,Run4,-0.034993,0.029264,1.419981,1.438387,0.083558,0.033678,16.232313,0.068966,0.027958
24,256,20.0,Run4,-0.025566,0.322742,1.43138,1.48998,0.079834,0.027295,18.1728,0.045019,0.066218
24,1024,0.0,FM-P2,-0.080605,-0.010521,0.165082,0.114385,0.007913,0.044547,12.097213,0.321839,0.000207
24,1024,10.0,FM-P4,-0.023974,0.194859,0.793383,0.563208,0.053014,0.218927,15.338561,0.02682,0.00066
24,1024,20.0,Run4,-0.022553,0.292026,1.53388,1.20123,0.116747,0.1468,18.654884,0.036398,0.038813
24,1024,50.0,FM-P4,-0.022406,0.29051,1.459212,1.086179,0.119945,0.38183,18.254694,0.037356,0.013107
24,4096,10.0,FM-P4,-0.022335,0.314774,0.464108,0.324031,0.024877,0.124081,13.944141,0.022031,0.000346
24,4096,20.0,Run4,-0.021038,0.425746,1.168918,0.865519,0.087508,0.131056,17.809959,0.028736,0.00313
24,4096,50.0,FM-P4,-0.021522,0.35028,0.9205,0.676513,0.058936,0.261199,15.878763,0.02682,0.000771
24,4096,100.0,Run6,-0.025335,0.433658,1.410176,1.453405,0.068983,0.017149,9.855667,1.0,0.0
24,6000,10.0,Run10,-0.022725,0.300964,0.403754,0.280785,0.021096,0.113135,13.719406,0.019157,0.000289
24,6000,50.0,Run10,-0.022005,0.265871,0.798783,0.581124,0.046475,0.215914,15.123737,0.023946,0.000606
24,8000,0.0,Run12,-0.073184,0.255498,0.059026,0.041117,0.002402,0.015892,11.969841,0.380268,0.000161
24,8000,10.0,Run12,-0.022089,0.328677,0.360324,0.2498,0.018497,0.101114,13.630097,0.02682,0.000298
24,8000,50.0,Run14,-0.022132,0.243305,0.713623,0.514599,0.039375,0.194111,14.651303,0.023946,0.000439
24,8000,100.0,Run14,-0.02154,0.308345,0.945758,0.700001,0.059796,0.273874,15.940382,0.027778,0.000967
28,1024,0.0,Run5,-0.176347,-0.032572,0.124225,0.086697,0.004288,0.036144,7.99168,1.0,0.0
28,1024,10.0,Run5,-0.029199,0.236002,1.314867,1.120466,0.06485,0.091851,9.832119,1.0,0.0
28,6000,0.0,Run11b,-0.103037,0.12219,0.051709,0.036082,0.001777,0.012962,12.652044,0.883142,1.004e-19
28,6000,10.0,Run11b,-0.022888,0.23365,0.39871,0.277577,0.017927,0.107615,14.390327,0.243295,1.211e-19
28,6000,20.0,Run11b,-0.022153,0.287607,0.545588,0.385334,0.02488,0.158572,14.75355,0.149425,1.142e-19
28,8000,0.0,Run13,-0.097559,-0.005863,0.045647,0.03188,0.001546,0.011913,12.628636,0.850575,8.743e-20
28,8000,10.0,Run13,-0.022291,0.309833,0.358857,0.24952,0.015868,0.097324,14.288102,0.279693,8.736e-20
28,10000,50.0,Run15,-0.022728,0.195564,0.721776,0.516585,0.059128,0.1873,12.266635,0.0,0.04111
28,10000,100.0,Run15,-0.021737,0.303832,0.953069,0.685967,0.090897,0.271378,13.301521,0.0,0.080438
32,1024,0.0,Run5,-0.245029,0.060255,0.092439,0.064689,0.002693,0.026888,8.060311,1.0,0.0
32,1024,10.0,Run5,-0.029209,0.234576,1.308373,1.117502,0.055888,0.09032,9.833184,1.0,0.0
32,6000,0.0,Run11b,-0.13151,0.00864,0.036884,0.025825,0.001068,0.011559,13.09706,0.996169,0.0
32,6000,10.0,Run11b,-0.022943,0.164853,0.395726,0.275572,0.015578,0.115179,14.977114,0.936782,0.0
32,6000,20.0,Run11b,-0.02213,0.230603,0.543139,0.384319,0.021683,0.160145,15.288557,0.814176,0.0
